"","x"
"1",0
"2",0
"3",5
"4",10
"5",15
"6",20
"7",25
"8",30
"9",35
"10",40
"11",45
"12",50
"13",55
"14",60
"15",65
"16",70
"17",75
"18",80
"19",85
"20",90
"21",95
"22",100
"23",105
"24",110
"25",115
"26",120
"27",125
"28",130
"29",135
"30",140
"31",145
"32",150
"33",155
"34",160
"35",165
"36",170
"37",175
"38",180
"39",185
"40",190
"41",195
"42",200
"43",205
"44",210
"45",215
"46",220
"47",225
"48",230
"49",235
"50",240
"51",245
"52",250
"53",255
"54",260
"55",265
"56",270
"57",275
"58",280
"59",285
"60",290
"61",295
"62",300
"63",305
"64",310
"65",315
"66",320
"67",325
"68",330
"69",335
"70",340
"71",345
"72",350
"73",355
"74",360
"75",365
"76",370
"77",375
"78",380
"79",385
"80",390
"81",395
"82",400
"83",405
"84",410
"85",415
"86",420
"87",425
"88",430
"89",435
"90",440
"91",445
"92",450
"93",455
"94",460
"95",465
"96",470
"97",475
"98",480
"99",485
"100",490
"101",495
"102",500
"103",505
"104",510
"105",515
"106",520
"107",525
"108",530
"109",535
"110",540
"111",545
"112",550
"113",555
"114",560
"115",565
"116",570
"117",575
"118",580
"119",585
"120",590
"121",595
"122",600
"123",605
"124",610
"125",615
"126",620
"127",625
"128",630
"129",635
"130",640
"131",645
"132",650
"133",655
"134",660
"135",665
"136",670
"137",675
"138",680
"139",685
"140",690
"141",695
"142",700
"143",705
"144",710
"145",715
"146",720
"147",725
"148",730
"149",735
"150",740
"151",745
"152",750
"153",755
"154",760
"155",765
"156",770
"157",775
"158",780
"159",785
"160",790
"161",795
"162",800
"163",805
"164",810
"165",815
"166",820
"167",825
"168",830
"169",835
"170",840
"171",845
"172",850
"173",855
"174",860
"175",865
"176",870
"177",875
"178",880
"179",885
"180",890
"181",895
"182",900
"183",905
"184",910
"185",915
"186",920
"187",925
"188",930
"189",935
"190",940
"191",945
"192",950
"193",955
"194",960
"195",965
"196",970
"197",975
"198",980
"199",985
"200",990
"201",995
"202",1000
"203",1005
"204",1010
"205",1015
"206",1020
"207",1025
"208",1030
"209",1035
"210",1040
"211",1045
"212",1050
"213",1055
"214",1060
"215",1065
"216",1070
"217",1075
"218",1080
"219",1085
"220",1090
