"gridvalue","CDF","type"
0,0.0831920521047868,"Real Emission at 30m"
5,0.733321734110751,"Real Emission at 30m"
10,0.862801428053124,"Real Emission at 30m"
15,0.909809300688265,"Real Emission at 30m"
20,0.926125090871816,"Real Emission at 30m"
25,0.933146666774566,"Real Emission at 30m"
30,0.938927395610369,"Real Emission at 30m"
35,0.941467085857176,"Real Emission at 30m"
40,0.943006005969553,"Real Emission at 30m"
45,0.944379030224067,"Real Emission at 30m"
50,0.945259761892238,"Real Emission at 30m"
55,0.945917950336445,"Real Emission at 30m"
60,0.946473634022948,"Real Emission at 30m"
65,0.947056292645688,"Real Emission at 30m"
70,0.947621417559874,"Real Emission at 30m"
75,0.948139336335644,"Real Emission at 30m"
80,0.948658603858225,"Real Emission at 30m"
85,0.949273632404451,"Real Emission at 30m"
90,0.949821223610083,"Real Emission at 30m"
95,0.950526618192706,"Real Emission at 30m"
100,0.95117536540923,"Real Emission at 30m"
105,0.95198461349637,"Real Emission at 30m"
110,0.952569969612734,"Real Emission at 30m"
115,0.953001568592542,"Real Emission at 30m"
120,0.953462840002212,"Real Emission at 30m"
125,0.95391601893101,"Real Emission at 30m"
130,0.954408311517354,"Real Emission at 30m"
135,0.954884419141954,"Real Emission at 30m"
140,0.955311971881326,"Real Emission at 30m"
145,0.955766499556937,"Real Emission at 30m"
150,0.956219678485735,"Real Emission at 30m"
155,0.956643184984671,"Real Emission at 30m"
160,0.957132780077391,"Real Emission at 30m"
165,0.957630467650982,"Real Emission at 30m"
170,0.958095785301088,"Real Emission at 30m"
175,0.958532779268143,"Real Emission at 30m"
180,0.959033164335358,"Real Emission at 30m"
185,0.959528154415325,"Real Emission at 30m"
190,0.960082489355016,"Real Emission at 30m"
195,0.960607151864845,"Real Emission at 30m"
200,0.961142604349169,"Real Emission at 30m"
205,0.96161871197377,"Real Emission at 30m"
210,0.962128538268668,"Real Emission at 30m"
215,0.962681524461547,"Real Emission at 30m"
220,0.963239905641673,"Real Emission at 30m"
225,0.96381312303673,"Real Emission at 30m"
230,0.964336436799748,"Real Emission at 30m"
235,0.964888074245814,"Real Emission at 30m"
240,0.965455896653624,"Real Emission at 30m"
245,0.966060135225355,"Real Emission at 30m"
250,0.966625260139541,"Real Emission at 30m"
255,0.967175548838796,"Real Emission at 30m"
260,0.967773043676468,"Real Emission at 30m"
265,0.968389420969506,"Real Emission at 30m"
270,0.968982869566742,"Real Emission at 30m"
275,0.969546645734116,"Real Emission at 30m"
280,0.970059169522638,"Real Emission at 30m"
285,0.970610806968705,"Real Emission at 30m"
290,0.971116587023167,"Real Emission at 30m"
295,0.971611577103135,"Real Emission at 30m"
300,0.972198281966311,"Real Emission at 30m"
305,0.972718898235704,"Real Emission at 30m"
310,0.973169379670879,"Real Emission at 30m"
315,0.973663021004034,"Real Emission at 30m"
320,0.974105409958337,"Real Emission at 30m"
325,0.974595005051057,"Real Emission at 30m"
